,Source,Model,Loss Type,Final Loss,STFT hop_length,STFT window_length,STFT window_type,Model activation,Model bidirectional,Model dropout,Model hidden_size,Model num_audio_channels,Model num_layers,Model num_sources,Optimizer lr,Epochs,Epoch Length,Train Coherent Fraction,Batch Size,Test Size,Test Length,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR,Model hop_length,Model num_filters,Model window_type,Model num_features,Model init_features,Model logscale
0,vocals,Mask,L1,0.0004315963014960289,128.0,512.0,sqrt_hann,sigmoid,True,0.3,32.0,1,2.0,1,0.001,25,25,1.0,10,50,5,-5.1399464659298,301.9375526664341,-5.1399464659298,-12.70349557034107,0.8873228796413563,-10.679017527006438,-296.66476006344686,-inf,-inf,291.52481359751704,inf,inf,,,,,,
1,bass,Mask,L1,0.0004361253813840449,128.0,512.0,sqrt_hann,"['sigmoid', 'unit_norm']",True,0.2,128.0,1,3.0,4,0.001,25,25,1.0,10,50,5,-7.375225727052097,-6.154357126764994,-0.18717795812215582,-7.5283300940575,-3.3439065608986653,12.326976755607571,-0.2174222441970728,-0.3669784409493474,3.777335246481883,-7.157803482855026,-7.161351653108153,-7.121241807380548,,,,,,
2,drums,Mask,L1,0.0004361253813840449,128.0,512.0,sqrt_hann,"['sigmoid', 'unit_norm']",True,0.2,128.0,1,3.0,4,0.001,25,25,1.0,10,50,5,-2.2068904975546983,0.6997469251040821,1.9510505588926423,-6.651794860301573,1.3614610164129273,-3.1139898133349257,2.8337698513869705,-1.609986799012829,6.449831573203491,-5.040660348941668,-5.041808061288743,-5.088370556790563,,,,,,
3,other,Mask,L1,0.0004361253813840449,128.0,512.0,sqrt_hann,"['sigmoid', 'unit_norm']",True,0.2,128.0,1,3.0,4,0.001,25,25,1.0,10,50,5,-3.0584297771218067,-0.286975068432273,1.4432288887675253,-4.575224433485394,0.24195850726049323,5.474285892819891,1.7257314677488238,0.21162987870750447,5.121349114106147,-4.78416124487063,-4.786854312192899,-4.8793906068456545,,,,,,
4,vocals,Mask,L1,0.0004361253813840449,128.0,512.0,sqrt_hann,"['sigmoid', 'unit_norm']",True,0.2,128.0,1,3.0,4,0.001,25,25,1.0,10,50,5,-2.7654095037403894,2.8224768775590388,-0.8165295386281685,-6.809214222265323,1.5575988192917163,-2.7855564666712245,6.495909913936769,2.452515095487032,10.802569794549914,-9.261319417677159,-9.261729317752355,-9.244970975258198,,,,,,
5,vocals,Waveform,L2,0.0024020876735448837,,,,sigmoid,True,0.3,64.0,1,2.0,1,0.001,25,25,0.85,10,50,5,-3.2079784663273503,306.38349694637424,-3.2079784663273503,-8.476945008635564,1.0085821191057482,-5.495496500508224,-294.7327920638444,-inf,-inf,291.52481359751704,inf,inf,128.0,512.0,sqrt_hann,,,
6,bass,Waveform,L2,0.00400490453466773,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.001,25,25,0.85,10,50,5,-5.055787996824,-2.542357365544812,-0.7639617634871101,-5.892266458665594,-1.2336654421933424,5.400926603303273,2.102015486031026,1.2690851944425598,5.887576365187205,-7.157803482855026,-7.161351653108153,-7.121241807380548,128.0,512.0,sqrt_hann,,,
7,drums,Waveform,L2,0.00400490453466773,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.001,25,25,0.85,10,50,5,-0.6967066638687627,3.056537861186993,1.9643211773985516,-2.2116104720816656,2.078221107396703,5.118811299743153,4.343953685072906,2.8301975892070765,7.166591664187268,-5.040660348941668,-5.041808061288743,-5.088370556790563,128.0,512.0,sqrt_hann,,,
8,other,Waveform,L2,0.00400490453466773,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.001,25,25,0.85,10,50,5,-3.297231572549369,-0.18590093908438785,0.7128133755486626,-5.702242126595414,0.8564182886016507,-0.11301728111653012,1.4869296723212624,-0.9153878144025149,5.735808895447304,-4.78416124487063,-4.786854312192899,-4.8793906068456545,128.0,512.0,sqrt_hann,,,
9,vocals,Waveform,L2,0.00400490453466773,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.001,25,25,0.85,10,50,5,-3.3807706964296758,0.616008010704297,-0.7025522865108721,-6.1402891893253075,0.6408396923940511,-0.938960680813912,5.880548721247482,3.1214401284270474,9.885810667652247,-9.261319417677159,-9.261729317752355,-9.244970975258198,128.0,512.0,sqrt_hann,,,
